ACCIDENT_ID,LOCATE_ID_DISTRICT,ACCIDENT_MONTH,ACCIDENT_YEAR,ACCIDENT_COST,HUMAN_ADMIT,HUMAN_DEAD,ROADTYPE_ID,ROADSKIN_ID,ACDPOINT_ID,ATMOSPHERE_ID,LIGHT_ID,GIS_E,GIS_N,GIS_LAT,GIS_LNG,PERSON_GENDER,PERSON_AGE,PERSON_STATE,LOCATE_PROVINCE,LOCATE_DOMICILE,ACCIDENT_VEHICLE
3809,100959,6,13,0,1,0,Highways Road,Dry,Straight way,Rain,Electric light at night,626095,1863735,16.85357913,100.1836362,Male,20,Died later,1071,1071,motorcycle
4354,100952,4,5,0,0,0,Highways Road,Dry,Straight way,Rain,Electric light at night,634858,1863006,16.84649993,100.2658353,Male,18,Injured,1071,1071,Truck
6335,100958,4,7,0,0,0,City road (municipality),Dry,Straight way,Rain,Electric light at night,627289,1855288,16.77717242,100.1943642,Male,30,Injured,1071,1071,motorcycle
8148,100962,8,14,6000,1,0,Highways Road,Dry,Straight way,Rain,Electric light at night,634148,1860004,16.81941033,100.2589928,Male,26,Died later,1071,1071,motorcycle
11618,100949,12,6,0,0,0,City road (municipality),Dry,Straight way,Rain,Electric light at night,627289,1855288,16.77717242,100.1943642,Female,30,Injured,1071,1071,motorcycle
19203,100959,6,15,35000,1,0,Rural Roads,Wet,Straight way,Rain,Electric light at night,633149,1858046,16.801772,100.2495028,Male,25,Injured,1071,1071,motorcycle
4009,100958,1,6,0,0,0,City road (municipality),Dry,Straight way,Smoke / dust,Electric light at night,618914,1852730,16.75449367,100.1156572,Male,42,Injured,1071,1071,motorcycle
25985,100960,8,14,10000,1,0,Rural Roads,Wet,Straight way,Smoke / dust,Electric light at night,633112,1857538,16.79718302,100.2491256,Male,27,Injured,1071,1071,motorcycle
39539,100952,6,13,59000,1,0,Roads in Village,Dry,Straight way,Smoke / dust,Electric light at night,693912,1867106,16.87937865,100.820324,Male,30,Injured,1071,1071,motorcycle
5729,100959,12,16,0,2,0,Roads in Village,Dry,crossroad,Rain,Electric light at night,634768,1860188,16.82103751,100.2648216,Male,32,Injured,1071,1071,Sedan/Taxi
20064,100946,4,14,5000,1,0,Highways Road,Dry,crossroad,Rain,Electric light at night,641561,1833408,16.57861456,100.3268904,Male,4,Injured,1071,1071,Truck
20090,100949,2,14,2000,1,0,City road (municipality),Dry,crossroad,Rain,Electric light at night,641561,1833408,16.57861456,100.3268904,Male,50,Injured,1071,1071,motorcycle
25464,100958,4,5,0,0,0,City road (municipality),Dry,crossroad,Rain,Electric light at night,631689,1869084,16.90161137,100.2364522,Male,21,Died later,1071,1071,pick up
30593,100949,1,13,6000,1,0,Roads in Village,Dry,Curve,Rain,Electric light at night,662413,1863087,16.84547439,100.5244234,Female,10,Injured,1071,1071,motorcycle
43386,100949,5,13,50000,1,0,Roads in Village,Dry,Curve,Rain,Electric light at night,655044,1867046,16.88175274,100.4555477,Male,40,Injured,1071,1071,pick up
194,100950,4,17,59000,1,0,Highways Road,Dry,Straight way,Rain,Electric light at night,635090,1860028,16.8195729,100.2678334,Female,30,Died later,1071,1071,motorcycle
